,Date(UTC),total_eth_supply,total_block_uncle_reward,total_block_count,total_uncle_count,BurntFees
0,7/30/2015,72049306.59375,39316.09375,6912,1299,0.0
1,7/31/2015,72085498.3125,36191.71875,6863,511,0.0
2,8/1/2015,72113204.25,27705.9375,5293,334,0.0
3,8/2/2015,72141427.6875,28223.4375,5358,394,0.0
4,8/3/2015,72169404.40625,27976.71875,5280,443,0.0
5,8/4/2015,72197882.84375,28478.4375,5368,458,0.0
6,8/5/2015,72225411.4375,27528.59375,5235,371,0.0
7,8/6/2015,72252486.90625,27075.46875,5116,411,0.0
8,8/7/2015,72279924.5625,27437.65625,5189,409,0.0
9,8/8/2015,72307868.0,27943.4375,5256,458,0.0
10,8/9/2015,72335046.28125,27178.28125,5123,421,0.0
11,8/10/2015,72362863.625,27817.34375,5255,415,0.0
12,8/11/2015,72390891.4375,28027.8125,5280,438,0.0
13,8/12/2015,72418262.375,27370.9375,5124,474,0.0
14,8/13/2015,72446530.5,28268.125,5286,504,0.0
15,8/14/2015,72477637.21875,31106.71875,5809,555,0.0
16,8/15/2015,72506149.875,28512.65625,5382,441,0.0
17,8/16/2015,72533244.40625,27094.53125,5132,385,0.0
18,8/17/2015,72561363.3125,28118.90625,5347,377,0.0
19,8/18/2015,72587526.125,26162.8125,4948,390,0.0
20,8/19/2015,72614808.15625,27282.03125,5192,361,0.0
21,8/20/2015,72635865.1875,21057.03125,4024,257,0.0
22,8/21/2015,72662556.125,26690.9375,5088,338,0.0
23,8/22/2015,72690106.59375,27550.46875,5271,323,0.0
24,8/23/2015,72716362.21875,26255.625,5013,320,0.0
25,8/24/2015,72743695.5,27333.28125,5184,377,0.0
26,8/25/2015,72770431.59375,26736.09375,5097,335,0.0
27,8/26/2015,72796569.5625,26137.96875,5003,303,0.0
28,8/27/2015,72821102.375,24532.8125,4708,266,0.0
29,8/28/2015,72845327.53125,24225.15625,4653,257,0.0
30,8/29/2015,72867852.53125,22525.0,4329,232,0.0
31,8/30/2015,72889306.125,21453.59375,4155,179,0.0
32,8/31/2015,72910599.5625,21293.4375,4122,182,0.0
33,9/1/2015,72930942.53125,20342.96875,3938,171,0.0
34,9/2/2015,72949329.875,18387.34375,3577,135,0.0
35,9/3/2015,72966710.8125,17380.9375,3383,126,0.0
36,9/4/2015,72989792.6875,23081.875,4443,232,0.0
37,9/5/2015,73015421.75,25629.0625,4921,274,0.0
38,9/6/2015,73041590.03125,26168.28125,4978,345,0.0
39,9/7/2015,73067050.5,25460.46875,4834,343,0.0
40,9/8/2015,73092943.0,25892.5,4923,348,0.0
41,9/9/2015,73119370.65625,26427.65625,5035,345,0.0
42,9/10/2015,73145814.875,26444.21875,5003,383,0.0
43,9/11/2015,73173054.71875,27239.84375,5141,411,0.0
44,9/12/2015,73199455.8125,26401.09375,5026,339,0.0
45,9/13/2015,73225627.21875,26171.40625,4971,353,0.0
46,9/14/2015,73251215.34375,25588.125,4851,360,0.0
47,9/15/2015,73276830.65625,25615.3125,4842,378,0.0
48,9/16/2015,73303148.78125,26318.125,4956,412,0.0
49,9/17/2015,73328584.40625,25435.625,4808,372,0.0
50,9/18/2015,73354486.125,25901.71875,4889,403,0.0
51,9/19/2015,73381665.8125,27179.6875,5078,490,0.0
52,9/20/2015,73409648.46875,27982.65625,5305,389,0.0
53,9/21/2015,73436300.34375,26651.875,5075,340,0.0
54,9/22/2015,73462670.65625,26370.3125,5051,298,0.0
55,9/23/2015,73489750.96875,27080.3125,5165,334,0.0
56,9/24/2015,73516136.75,26385.78125,5021,341,0.0
57,9/25/2015,73543140.1875,27003.4375,5126,366,0.0
58,9/26/2015,73569050.5,25910.3125,4930,338,0.0
59,9/27/2015,73594061.59375,25011.09375,4773,307,0.0
60,9/28/2015,73618775.8125,24714.21875,4738,275,0.0
61,9/29/2015,73643144.25,24368.4375,4640,314,0.0
62,9/30/2015,73668238.0,25093.75,4757,356,0.0
63,10/1/2015,73695660.03125,27422.03125,5210,373,0.0
64,10/2/2015,73722573.15625,26913.125,5143,324,0.0
65,10/3/2015,73749026.90625,26453.75,5077,292,0.0
66,10/4/2015,73774507.0625,25480.15625,4886,281,0.0
67,10/5/2015,73800643.9375,26136.875,5009,292,0.0
68,10/6/2015,73825680.5,25036.5625,4806,266,0.0
69,10/7/2015,73851814.09375,26133.59375,5004,295,0.0
70,10/8/2015,73878596.28125,26782.1875,5152,270,0.0
71,10/9/2015,73904043.9375,25447.65625,4905,245,0.0
72,10/10/2015,73929543.625,25499.6875,4896,270,0.0
73,10/11/2015,73956054.40625,26510.78125,5073,301,0.0
74,10/12/2015,73982854.40625,26800.0,5148,284,0.0
75,10/13/2015,74009522.6875,26668.28125,5108,301,0.0
76,10/14/2015,74035398.3125,25875.625,4934,320,0.0
77,10/15/2015,74061008.78125,25610.46875,4926,263,0.0
78,10/16/2015,74086450.1875,25441.40625,4883,273,0.0
79,10/17/2015,74112900.8125,26450.625,5056,312,0.0
80,10/18/2015,74138749.09375,25848.28125,4945,297,0.0
81,10/19/2015,74164715.8125,25966.71875,4975,291,0.0
82,10/20/2015,74190908.3125,26192.5,4990,332,0.0
83,10/21/2015,74216954.71875,26046.40625,4990,289,0.0
84,10/22/2015,74242285.5,25330.78125,4835,305,0.0
85,10/23/2015,74269844.09375,27558.59375,5263,331,0.0
86,10/24/2015,74296959.09375,27115.0,5171,336,0.0
87,10/25/2015,74323773.3125,26814.21875,5096,351,0.0
88,10/26/2015,74349688.625,25915.3125,4908,366,0.0
89,10/27/2015,74377214.875,27526.25,5220,376,0.0
90,10/28/2015,74403563.3125,26348.4375,4967,398,0.0
91,10/29/2015,74431070.34375,27507.03125,5158,453,0.0
92,10/30/2015,74458794.25,27723.90625,5232,409,0.0
93,10/31/2015,74486542.0625,27747.8125,5129,554,0.0
94,11/1/2015,74514722.21875,28180.15625,5158,625,0.0
95,11/2/2015,74541856.4375,27134.21875,5024,531,0.0
96,11/3/2015,74569462.21875,27605.78125,5085,573,0.0
97,11/4/2015,74597178.625,27716.40625,5125,549,0.0
98,11/5/2015,74624470.03125,27291.40625,5103,473,0.0
99,11/6/2015,74651892.21875,27422.1875,5142,450,0.0
100,11/7/2015,74678607.53125,26715.3125,4922,550,0.0
101,11/8/2015,74705896.59375,27289.0625,5021,570,0.0
102,11/9/2015,74732956.125,27059.53125,5024,509,0.0
103,11/10/2015,74760400.1875,27444.0625,5053,574,0.0
104,11/11/2015,74788226.75,27826.5625,5028,702,0.0
105,11/12/2015,74816251.28125,28024.53125,5079,693,0.0
106,11/13/2015,74844436.4375,28185.15625,5119,681,0.0
107,11/14/2015,74872794.09375,28357.65625,5127,713,0.0
108,11/15/2015,74900914.25,28120.15625,5195,561,0.0
109,11/16/2015,74928309.40625,27395.15625,5039,577,0.0
110,11/17/2015,74956103.0,27793.59375,5163,515,0.0
111,11/18/2015,74983355.03125,27252.03125,5075,489,0.0
112,11/19/2015,75009918.46875,26563.4375,4977,446,0.0
113,11/20/2015,75035048.9375,25130.46875,4721,403,0.0
114,11/21/2015,75061831.125,26782.1875,5035,422,0.0
115,11/22/2015,75088819.71875,26988.59375,5049,459,0.0
116,11/23/2015,75116092.0625,27272.34375,5089,483,0.0
117,11/24/2015,75142940.1875,26848.125,5001,484,0.0
118,11/25/2015,75169412.0625,26471.875,4940,464,0.0
119,11/26/2015,75195950.5,26538.4375,4940,486,0.0
120,11/27/2015,75223837.375,27886.875,5174,528,0.0
121,11/28/2015,75251045.34375,27207.96875,5008,571,0.0
122,11/29/2015,75278393.15625,27347.8125,5050,550,0.0
123,11/30/2015,75305749.40625,27356.25,5080,516,0.0
124,12/1/2015,75333292.21875,27542.8125,5078,566,0.0
125,12/2/2015,75359299.25,26007.03125,4824,501,0.0
126,12/3/2015,75387362.53125,28063.28125,5205,537,0.0
127,12/4/2015,75414041.90625,26679.375,5008,432,0.0
128,12/5/2015,75440623.78125,26581.875,5006,412,0.0
129,12/6/2015,75466879.5625,26255.78125,4913,453,0.0
130,12/7/2015,75493598.46875,26718.90625,4971,493,0.0
131,12/8/2015,75519910.96875,26312.5,4911,464,0.0
132,12/9/2015,75548235.03125,28324.0625,5208,602,0.0
133,12/10/2015,75575712.375,27477.34375,5144,467,0.0
134,12/11/2015,75602735.1875,27022.8125,5062,454,0.0
135,12/12/2015,75629941.75,27206.5625,5076,486,0.0
136,12/13/2015,75657849.09375,27907.34375,5280,399,0.0
137,12/14/2015,75684557.6875,26708.59375,4999,455,0.0
138,12/15/2015,75711572.21875,27014.53125,5070,445,0.0
139,12/16/2015,75738029.5625,26457.34375,4982,407,0.0
140,12/17/2015,75764912.6875,26883.125,5060,420,0.0
141,12/18/2015,75791584.25,26671.5625,5020,414,0.0
142,12/19/2015,75818278.78125,26694.53125,5038,401,0.0
143,12/20/2015,75844714.875,26436.09375,4947,447,0.0
144,12/21/2015,75871172.6875,26457.8125,4976,418,0.0
145,12/22/2015,75898547.0625,27374.375,5129,456,0.0
146,12/23/2015,75925946.4375,27399.375,5112,488,0.0
147,12/24/2015,75952633.0,26686.5625,5018,422,0.0
148,12/25/2015,75979436.59375,26803.59375,5080,371,0.0
149,12/26/2015,76005996.75,26560.15625,5004,405,0.0
150,12/27/2015,76032850.5,26853.75,5018,468,0.0
151,12/28/2015,76059908.46875,27057.96875,5081,439,0.0
152,12/29/2015,76086569.5625,26661.09375,4981,463,0.0
153,12/30/2015,76113305.8125,26736.25,5028,420,0.0
154,12/31/2015,76140217.84375,26912.03125,5040,449,0.0
155,1/1/2016,76166284.40625,26066.5625,4885,434,0.0
156,1/2/2016,76193668.3125,27383.90625,5095,505,0.0
157,1/3/2016,76221344.09375,27675.78125,5134,529,0.0
158,1/4/2016,76248764.71875,27420.625,5096,516,0.0
159,1/5/2016,76276603.9375,27839.21875,5126,583,0.0
160,1/6/2016,76304229.40625,27625.46875,5090,575,0.0
161,1/7/2016,76331251.59375,27022.1875,4981,558,0.0
162,1/8/2016,76359248.3125,27996.71875,5176,555,0.0
163,1/9/2016,76386844.09375,27595.78125,5099,553,0.0
164,1/10/2016,76414132.0625,27287.96875,5093,483,0.0
165,1/11/2016,76441137.21875,27005.15625,5107,389,0.0
166,1/12/2016,76467038.0,25900.78125,4930,329,0.0
167,1/13/2016,76493573.3125,26535.3125,5002,402,0.0
168,1/14/2016,76520492.53125,26919.21875,5090,387,0.0
169,1/15/2016,76547289.875,26797.34375,5084,363,0.0
170,1/16/2016,76573813.0,26523.125,5046,344,0.0
171,1/17/2016,76600412.84375,26599.84375,5036,379,0.0
172,1/18/2016,76627033.0,26620.15625,5072,333,0.0
173,1/19/2016,76653125.8125,26092.8125,4972,326,0.0
174,1/20/2016,76679668.3125,26542.5,5038,360,0.0
175,1/21/2016,76705587.53125,25919.21875,4963,295,0.0
176,1/22/2016,76731842.53125,26255.0,5007,324,0.0
177,1/23/2016,76757612.21875,25769.6875,4928,302,0.0
178,1/24/2016,76784855.1875,27242.96875,5168,379,0.0
179,1/25/2016,76810552.21875,25697.03125,4881,345,0.0
180,1/26/2016,76837541.4375,26989.21875,5152,327,0.0
181,1/27/2016,76863642.21875,26100.78125,4983,317,0.0
182,1/28/2016,76890206.90625,26564.6875,5059,334,0.0
183,1/29/2016,76916367.375,26160.46875,4981,339,0.0
184,1/30/2016,76942560.5,26193.125,5017,296,0.0
185,1/31/2016,76968242.375,25681.875,4872,352,0.0
186,2/1/2016,76994673.625,26431.25,5015,360,0.0
187,2/2/2016,77020542.0625,25868.4375,4955,294,0.0
188,2/3/2016,77047840.03125,27297.96875,5199,347,0.0
189,2/4/2016,77074402.375,26562.34375,5062,335,0.0
190,2/5/2016,77100960.96875,26558.59375,5046,355,0.0
191,2/6/2016,77127306.75,26345.78125,4987,377,0.0
192,2/7/2016,77153991.4375,26684.6875,5087,334,0.0
193,2/8/2016,77180646.4375,26655.0,5071,344,0.0
194,2/9/2016,77207117.53125,26471.09375,5055,319,0.0
195,2/10/2016,77233278.78125,26161.25,4961,360,0.0
196,2/11/2016,77259756.59375,26477.8125,5019,366,0.0
197,2/12/2016,77286258.625,26502.03125,5033,357,0.0
198,2/13/2016,77313140.1875,26881.5625,5093,378,0.0
199,2/14/2016,77339469.25,26329.0625,4990,370,0.0
200,2/15/2016,77365694.5625,26225.3125,4975,358,0.0
201,2/16/2016,77392140.34375,26445.78125,5025,349,0.0
202,2/17/2016,77417812.375,25672.03125,4857,373,0.0
203,2/18/2016,77444027.21875,26214.84375,4999,327,0.0
204,2/19/2016,77470682.6875,26655.46875,5033,395,0.0
205,2/20/2016,77497243.46875,26560.78125,5051,345,0.0
206,2/21/2016,77523780.03125,26536.5625,5055,338,0.0
207,2/22/2016,77550537.84375,26757.8125,5103,330,0.0
208,2/23/2016,77576707.84375,26170.0,4969,356,0.0
209,2/24/2016,77603134.71875,26426.875,5029,340,0.0
210,2/25/2016,77629958.46875,26823.75,5128,320,0.0
211,2/26/2016,77656612.53125,26654.0625,5055,366,0.0
212,2/27/2016,77682812.375,26199.84375,4992,327,0.0
213,2/28/2016,77709234.40625,26422.03125,5029,341,0.0
214,2/29/2016,77734463.9375,25229.53125,4820,305,0.0
215,3/1/2016,77760945.03125,26481.09375,5052,331,0.0
216,3/2/2016,77787589.25,26644.21875,5086,327,0.0
217,3/3/2016,77813700.5,26111.25,5014,288,0.0
218,3/4/2016,77839585.8125,25885.3125,4994,266,0.0
219,3/5/2016,77866168.0,26582.1875,5138,266,0.0
220,3/6/2016,77891567.6875,25399.6875,4907,258,0.0
221,3/7/2016,77917553.15625,25985.46875,5026,247,0.0
222,3/8/2016,77943376.28125,25823.125,5017,220,0.0
223,3/9/2016,77969119.5625,25743.28125,4989,237,0.0
224,3/10/2016,77995747.0625,26627.5,5196,200,0.0
225,3/11/2016,78022049.5625,26302.5,5065,264,0.0
226,3/12/2016,78048419.71875,26370.15625,5023,321,0.0
227,3/13/2016,78075670.1875,27250.46875,5186,351,0.0
228,3/14/2016,78102078.15625,26407.96875,5108,259,0.0
229,3/15/2016,78133301.75,31223.59375,5979,391,0.0
230,3/16/2016,78164791.90625,31490.15625,6025,401,0.0
231,3/17/2016,78196816.4375,32024.53125,6082,477,0.0
232,3/18/2016,78228103.625,31287.1875,5962,434,0.0
233,3/19/2016,78260182.0625,32078.4375,6082,494,0.0
234,3/20/2016,78291777.21875,31595.15625,6027,425,0.0
235,3/21/2016,78323160.1875,31382.96875,5994,419,0.0
236,3/22/2016,78354872.0625,31711.875,6071,404,0.0
237,3/23/2016,78386166.125,31294.0625,5974,422,0.0
