,id,symbol,name,price,rank,total_volume,fully_diluted_valuation,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,all_time_high,ath_date,all_time_low,atl_date,last_updated
0,bitcoin,btc,Bitcoin,42853.0,1,22492622071.0,900450382145.0,43329.0,42068.0,23.26,0.0543,298434027.0,0.03558,19570512.0,21000000.0,21000000.0,69045.0,2021-11-10T14:24:11.849Z,67.81,2013-07-06T00:00:00.000Z,2023-12-15T10:15:00.488Z
1,ethereum,eth,Ethereum,2277.04,2,19173659767.0,273978430261.0,2331.32,2254.24,-1.1608548762078499,-0.05095,-274851627.5466614,-0.10022,120206615.736449,120206615.736449,,4878.26,2021-11-10T14:24:19.604Z,0.432979,2015-10-20T00:00:00.000Z,2023-12-15T10:15:01.746Z
2,tether,usdt,Tether,1.0,3,44806514395.0,90875581565.0,1.002,0.997101,8.441e-05,0.00844,252561098.0,0.27869,90817944690.4474,90817944690.4474,,1.32,2018-07-24T00:00:00.000Z,0.572521,2015-03-02T00:00:00.000Z,2023-12-15T10:15:03.534Z
3,binancecoin,bnb,BNB,249.37,4,690286078.0,38413926481.0,254.04,248.44,-3.148931334654293,-1.24699,-476112128.20996857,-1.22425,153856150.0,153856150.0,200000000.0,686.31,2021-05-10T07:24:17.097Z,0.0398177,2017-10-19T00:00:00.000Z,2023-12-15T10:15:00.048Z
4,ripple,xrp,XRP,0.631807,5,1416443264.0,63202560877.0,0.640712,0.616424,0.00224651,0.35684,156471209.0,0.46047,54005597115.0,99988151135.0,100000000000.0,3.4,2018-01-07T00:00:00.000Z,0.00268621,2014-05-22T00:00:00.000Z,2023-12-15T10:15:04.476Z
5,solana,sol,Solana,78.32,6,2946773091.0,44290926706.0,78.99,70.18,5.95,8.22585,2543742461.0,8.20919,427635731.862834,564874154.684566,,259.96,2021-11-06T21:54:35.825Z,0.500801,2020-05-11T19:35:23.449Z,2023-12-15T10:15:06.903Z
6,usd-coin,usdc,USDC,0.999692,7,12397334655.0,24475564472.0,1.003,0.996462,-0.000291616600496147,-0.02916,76446695.0,0.31333,24485782763.8314,24486500126.2344,,1.17,2019-05-08T00:40:28.300Z,0.877647,2023-03-11T08:02:13.981Z,2023-12-15T10:15:06.906Z
7,cardano,ada,Cardano,0.637041,8,996425747.0,28753282001.0,0.65805,0.62172,-0.008090323965402326,-1.25406,-216941770.0738449,-0.96036,35013974387.9469,45000000000.0,45000000000.0,3.09,2021-09-02T06:00:10.474Z,0.01925275,2020-03-13T02:22:55.044Z,2023-12-15T10:15:04.018Z
8,staked-ether,steth,Lido Staked Ether,2275.57,9,7189841.0,20991387920.0,2323.29,2240.51,-6.765059175232182,-0.29641,-109125126.24827576,-0.51717,9223434.20200986,9223434.20200986,9221668.47790346,4829.57,2021-11-10T14:40:47.256Z,482.9,2020-12-22T04:08:21.854Z,2023-12-15T10:15:07.222Z
9,avalanche-2,avax,Avalanche,41.05,10,1618370724.0,17752571355.0,40.88,37.65,2.69,7.00104,904376521.0,6.4295,366153827.411411,434185979.273719,720000000.0,144.96,2021-11-21T14:18:56.538Z,2.8,2020-12-31T13:15:21.540Z,2023-12-15T10:15:00.962Z
